,sketchID,roi_labelName,numBackground,numCausal,numFunctional,numSymbol,totalStrokes,propCausal,propFunctional,propSymbol,propBackground
154,gears_1.5854-18de046e-63e2-4225-89ae-e606873818b0,gear_2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
155,gears_1.5854-18de046e-63e2-4225-89ae-e606873818b0,gear_3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
156,gears_1.5854-18de046e-63e2-4225-89ae-e606873818b0,gear_4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
157,gears_1.6182-d61fc503-aec8-4628-a767-04fadedc083f,background_5.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
158,gears_1.6182-d61fc503-aec8-4628-a767-04fadedc083f,gear_1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
159,gears_1.6182-d61fc503-aec8-4628-a767-04fadedc083f,gear_2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
160,gears_1.6182-d61fc503-aec8-4628-a767-04fadedc083f,gear_3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
161,gears_1.6182-d61fc503-aec8-4628-a767-04fadedc083f,gear_4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
162,gears_1.6317-08207a69-0532-454a-a7d0-1f5618708db0,background_5.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
163,gears_1.6317-08207a69-0532-454a-a7d0-1f5618708db0,gear_1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
164,gears_1.6317-08207a69-0532-454a-a7d0-1f5618708db0,gear_2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
165,gears_1.6317-08207a69-0532-454a-a7d0-1f5618708db0,gear_3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
166,gears_1.6317-08207a69-0532-454a-a7d0-1f5618708db0,gear_4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
167,gears_1.6317-08207a69-0532-454a-a7d0-1f5618708db0,symbols_nan,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,0.0
168,gears_1.6913-0d12dbb2-8462-4303-b6cf-7479942d1541,background_5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
169,gears_1.6913-0d12dbb2-8462-4303-b6cf-7479942d1541,gear_1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
